;Unnamed: 0;brand;name;spec_rating;processor;CPU;Ram;Ram_type;ROM;ROM_type;GPU;display_size;resolution_width;resolution_height;price;OS;warranty
0;0;HP;Victus 15-fb0157AX Gaming Laptop;73;5th Gen AMD Ryzen 5 5600H;Hexa Core, 12 Threads;8GB;DDR4;512GB;SSD;4GB AMD Radeon RX 6500M;15,6;1920;1080;49900;Windows 11 OS;a
1;1;HP;15s-fq5007TU Laptop;60;12th Gen Intel Core i3 1215U;Hexa Core (2P + 4E), 8 Threads;8GB;DDR4;512GB;SSD;Intel UHD Graphics;15,6;1920;1080;39900;Windows 11 OS;a
2;2;Acer;One 14 Z8-415 Laptop;69;11th Gen Intel Core i3 1115G4;Dual Core, 4 Threads;8GB;DDR4;512GB;SSD;Intel Iris Xe Graphics;14;1920;1080;26990;Windows 11 OS;a
3;3;Lenovo;Yoga Slim 6 14IAP8 82WU0095IN Laptop;66;12th Gen Intel Core i5 1240P;12 Cores (4P + 8E), 16 Threads;16GB;LPDDR5;512GB;SSD;Intel Integrated Iris Xe;14;2240;1400;59729;Windows 11 OS;a
4;4;Apple;MacBook Air 2020 MGND3HN Laptop;69;Apple M1;Octa Core (4P + 4E);8GB;DDR4;256GB;SSD;Apple M1 Integrated Graphics;13,3;2560;1600;69990;Mac OS;a
5;5;Acer;Extensa EX214-53 Laptop;62;12th Gen Intel Core i5 1240P;12 Cores (4P + 8E), 16 Threads;8GB;DDR4;512GB;SSD;Intel Iris Xe Graphics;14;1920;1080;39990;Windows 11 OS;a
6;6;Dell;Inspiron 3520 D560896WIN9B Laptop;60;12th Gen Intel Core i3 1215U;Hexa Core (2P + 4E), 8 Threads;8GB;DDR4;512GB;SSD;Intel UHD Graphics;15,6;1920;1080;36790;Windows 11 OS;a
7;7;Acer;Nitro V ANV15-51 2023 Gaming Laptop;63;13th Gen Intel Core i5 13420H;Octa Core (4P + 4E), 12 Threads;16GB;DDR5;512GB;SSD;6GB NVIDIA GeForce RTX 4050;15,6;1920;1080;76990;Windows 11 OS;a
8;8;Asus;Vivobook 15 X1502ZA-EJ523WS Laptop;64;12th Gen Intel Core i5 12500H;12 Cores (4P + 8E), 16 Threads;8GB;DDR4;512GB;SSD;Intel Iris Xe;15,6;1920;1080;48990;Windows 11 OS;a
9;9;Samsung;Galaxy Book2 Pro 13 Laptop;68;12th Gen Intel Core i5 1240P;12 Cores (4P + 8E), 16 Threads;16GB;LPDDR5;512GB;SSD;Intel Iris Xe Graphics;13,3;1080;1920;74990;Windows 11 OS;a
10;10;Lenovo;V15 G3 IAP 82TTA08AIN Laptop;69;12th Gen Intel Core i7 1255U;10 Cores (2P + 8E), 12 Threads;16GB;DDR4;512GB;SSD;Intel Integrated UHD;15,6;1920;1080;49990;Windows 11 OS;a
11;11;Ultimus;Pro NU14U3INC43BN-CS Laptop;69;Intel Celeron  N4020;Dual Core, 2 Threads;4GB;DDR4;128GB;SSD;Intel Integrated UHD Graphics;14,1;1366;768;10990;Windows 11 OS;a
12;12;Asus;TUF Gaming F15 2022 FX507ZC4-HN116W Gaming Laptop;76;12th Gen Intel Core i5 12500H;12 Cores (4P + 8E), 16 Threads;16GB;DDR4;512GB;SSD;4GB NVIDIA GeForce RTX 3050;15,6;1920;1080;72990;Windows 11 OS;a
13;13;Primebook;4G Android Laptop;69;MediaTek MTK8788;Octa Core;4GB;LPDDR4;64GB;Hard-Disk;ARM Mali G72;11,6;1366;768;10990;Android 11 OS;a
15;15;Lenovo;V15 G4 ?82YU00W7IN Laptop;69;7th Gen AMD Ryzen 3 7320U;Quad Core, 8 Threads;8GB;LPDDR5;512GB;SSD;AMD Radeon Graphics;15,6;1920;1080;29990;Windows 11 OS;a
