BL/AWB/PRO	Container	Purchase Order	Forwarder	Est. POL Date	Est. POD Date	Mode	POL	País	Customs Inspection	Planned to HUB	Planned to Warehouse	Cont. Date 1	Carrier	Order Qty	Transport price
NBH1122ES05193	TCNU5007507	122818- 123322- 124069	Raminatrans	20/11/2022	30/12/2022	Ocean	Ningbo- CN				1	4/1/2023	Maersk Line	7500	3100
NBH1122HN05084	TCNU5007507	122818- 123322- 124069	Raminatrans	20/11/2022	30/12/2022	Ocean	Ningbo- CN				1	4/1/2023	Maersk Line	19720	3100
SFPC2211122279	FBIU0336246	126149- 126153- 125745- 125783- 125789- 125343- 126279- 126280- 126281	Raminatrans	25/11/2022	7/1/2023	Ocean	Tuticorin- IN				1	13/1/2023	Mediterranean Shipping Company (MSC)	22000	1800
SFPC2211122279	KKFU7790287	125464- 125525- 125535- 125578- 125588- 125585- 125589- 125462- 125471- 125264- 125467- 125729- 125796- 125811- 125817- 126065- 126073- 126078- 125339- 125363- 125359- 126286- 126283- 125284	Raminatrans	25/11/2022	7/1/2023	Ocean	Tuticorin- IN				1	13/1/2023	Mediterranean Shipping Company (MSC)	6002	1800
SHVLC2211156	FANU1314511	126706	Raminatrans	28/11/2022	16/1/2023	Ocean	Nantong- CN				1	24/1/2023	Mediterranean Shipping Company (MSC)	8300	3100
SHVLC2211156	HLBU2439996	126706	Raminatrans	28/11/2022	16/1/2023	Ocean	Nantong- CN				1	24/1/2023	Mediterranean Shipping Company (MSC)	59740	3100
SHVLC2211156	HLBU2565525	126706	Raminatrans	28/11/2022	16/1/2023	Ocean	Nantong- CN				1	25/1/2023	Mediterranean Shipping Company (MSC)	3901	3100
NBH1122ML07861	MRSU3313854	112260- 108487- 122563- 122564- 122824- 122814- 122844- 122845- 122846- 123908- 123897- 124006- 124007- 124595- 124594- 124596- 124601- 124599	Raminatrans	28/11/2022	6/1/2023	Ocean	Ningbo- CN		1	1		23/1/2023	Maersk Line	42270	3100
NBH1122XA07788	HASU4694020	109164- 109165- 122760- 122759- 122798	Raminatrans	28/11/2022	7/1/2023	Ocean	Ningbo- CN		1	1		12/1/2023	Mediterranean Shipping Company (MSC)	6801	3100
NBH1122HQ07518	SUDU8792217	109165- 122571- 122664- 122676- 122670- 123789- 123867- 124590- 124598- 125510- 126171- 126170	Raminatrans	28/11/2022	7/1/2023	Ocean	Ningbo- CN		1	1		11/1/2023	Mediterranean Shipping Company (MSC)	45620	3100
